phase,fold,epoch,loss,accuracy
1.0,1.0,1.0,2.300577163696289,0.11224105461393598
1.0,1.0,2.0,2.2889082431793213,0.14148506860371265
1.0,1.0,3.0,2.2708747386932373,0.24861130893035177
1.0,1.0,4.0,2.2670340538024902,0.23430108398886276
1.0,1.0,5.0,2.2531776428222656,0.24011299435028244
1.0,1.0,6.0,2.2323660850524902,0.4191765971925493
1.0,1.0,7.0,2.2190375328063965,0.27236008614242335
1.0,1.0,8.0,2.1784698963165283,0.29837312349774964
1.0,1.0,9.0,2.1314737796783447,0.4410316237434882
1.0,1.0,10.0,2.090637683868408,0.37096711934589605
1.0,1.0,11.0,2.016164541244507,0.4232633269024097
1.0,1.0,12.0,1.9882991313934326,0.38492965547801045
1.0,1.0,13.0,1.9588321447372437,0.470748593380697
1.0,1.0,14.0,1.940367341041565,0.4768004123936327
1.0,1.0,15.0,1.9081454277038574,0.4841880791770254
1.0,1.0,16.0,1.9062855243682861,0.44845305353779924
1.0,1.0,17.0,1.8893651962280273,0.5318986098647115
1.0,1.0,18.0,1.857607364654541,0.6075158363293955
1.0,1.0,19.0,1.804013967514038,0.7267275097783571
1.0,1.0,20.0,1.8061641454696655,0.6821361312886737
1.0,1.0,21.0,1.8267241716384888,0.6061248073959938
1.0,1.0,22.0,1.7991448640823364,0.6865068713274097
1.0,1.0,23.0,1.8048049211502075,0.6556283058565684
1.0,1.0,24.0,1.774999976158142,0.754726723370791
1.0,1.0,25.0,1.7793726921081543,0.7462897023216064
1.0,1.0,26.0,1.778028964996338,0.7053078858662108
1.0,1.0,27.0,1.7653534412384033,0.7077040883122637
1.0,1.0,28.0,1.759940266609192,0.7111413013706135
1.0,1.0,29.0,1.758448600769043,0.7348172270786008
1.0,1.0,30.0,1.7381923198699951,0.7264465760228472
1.0,2.0,1.0,1.6706132888793945,0.9142379624411788
1.0,2.0,2.0,1.6645123958587646,0.9311683995632151
1.0,2.0,3.0,1.6670318841934204,0.8975024421684442
1.0,2.0,4.0,1.6622488498687744,0.9486046909775723
1.0,2.0,5.0,1.6519688367843628,0.9497884413138651
1.0,2.0,6.0,1.6609278917312622,0.9149451218992596
1.0,2.0,7.0,1.6221381425857544,0.9317602747313615
1.0,2.0,8.0,1.615248680114746,0.9312822217109356
1.0,2.0,9.0,1.609695553779602,0.9488708477741379
1.0,2.0,10.0,1.611422061920166,0.9004043425279717
1.0,2.0,11.0,1.597960352897644,0.9127149951112844
1.0,2.0,12.0,1.6050230264663696,0.9483894636437009
1.0,2.0,13.0,1.5958490371704102,0.9485032857914214
1.0,2.0,14.0,1.5783463716506958,0.9661016949152542
1.0,2.0,15.0,1.5796754360198975,0.9486046909775723
1.0,2.0,16.0,1.5693049430847168,0.9481175521055879
1.0,2.0,17.0,1.567878246307373,0.9832122679580306
1.0,2.0,18.0,1.5774003267288208,0.9131969171849531
1.0,2.0,19.0,1.547627568244934,0.9824776877098174
1.0,2.0,20.0,1.5530085563659668,0.9824776877098174
1.0,2.0,21.0,1.5700722932815552,0.9316726587913028
1.0,2.0,22.0,1.5777040719985962,0.9318816776443896
1.0,2.0,23.0,1.5400185585021973,1.0
1.0,3.0,1.0,1.5164982080459595,0.9822975517890772
1.0,3.0,2.0,1.5175089836120605,0.9822975517890772
1.0,3.0,3.0,1.5244699716567993,0.9662728984762883
1.0,3.0,4.0,1.5191563367843628,1.0
1.0,4.0,1.0,1.5087782144546509,0.9828543355440924
1.0,4.0,2.0,1.4988175630569458,1.0
1.0,5.0,1.0,1.5195074081420898,0.9828119995729689
1.0,5.0,2.0,1.5182113647460938,0.9828119995729689
1.0,5.0,3.0,1.5068689584732056,0.9828119995729689
1.0,5.0,4.0,1.5137690305709839,0.9828119995729689
1.0,5.0,5.0,1.5055752992630005,0.9655172413793104
1.0,5.0,6.0,1.5176509618759155,0.9655172413793104
1.0,5.0,7.0,1.5043091773986816,1.0
2.0,1.0,1.0,2.96298348903656,0.29589106545628285
2.0,1.0,2.0,2.8518956899642944,0.3497294372294372
2.0,1.0,3.0,2.7669260501861572,0.41625836510746994
2.0,1.0,4.0,2.659473419189453,0.5111646540593908
2.0,1.0,5.0,2.6030737161636353,0.573243795541932
2.0,1.0,6.0,2.5641679763793945,0.5408115877930119
2.0,1.0,7.0,2.5475170612335205,0.46665901767405527
2.0,1.0,8.0,2.5111433267593384,0.5413252829042303
2.0,1.0,9.0,2.4900447130203247,0.5704308390022675
2.0,1.0,10.0,2.4611164331436157,0.6251170724700136
2.0,1.0,11.0,2.4243974685668945,0.6778751803751805
2.0,1.0,12.0,2.422354817390442,0.6195612136401609
2.0,1.0,13.0,2.4715226888656616,0.5956169390833257
2.0,1.0,14.0,2.400642514228821,0.6475856658452855
2.0,1.0,15.0,2.410342812538147,0.681344169246646
2.0,1.0,16.0,2.443775177001953,0.6424354287169414
2.0,1.0,17.0,2.3856797218322754,0.7404081632653062
2.0,1.0,18.0,2.3851062059402466,0.6771875416833399
2.0,1.0,19.0,2.3948410749435425,0.6843492660221985
2.0,1.0,20.0,2.380497694015503,0.63624865735768
2.0,1.0,21.0,2.3788745403289795,0.6627373979894988
2.0,1.0,22.0,2.366518259048462,0.7284576138147568
2.0,1.0,23.0,2.3584861755371094,0.73352528423957
2.0,1.0,24.0,2.434236168861389,0.7222414883018599
2.0,1.0,25.0,2.427127480506897,0.6949725504236781
2.0,1.0,26.0,2.371569871902466,0.7037930323644609
2.0,1.0,27.0,2.4447743892669678,0.666660482374768
2.0,1.0,28.0,2.3503341674804688,0.7500966702470463
2.0,1.0,29.0,2.4163293838500977,0.6838474783852935
2.0,1.0,30.0,2.3611011505126953,0.7230327772134495
2.0,2.0,1.0,2.274349808692932,0.7856613937441006
2.0,2.0,2.0,2.249897599220276,0.9006444683136412
2.0,2.0,3.0,2.2453776597976685,0.8833547404975975
2.0,2.0,4.0,2.256789207458496,0.8995670995670996
2.0,2.0,5.0,2.2837034463882446,0.8677020202020203
2.0,2.0,6.0,2.248026490211487,0.9240053597196456
2.0,2.0,7.0,2.2244725227355957,0.896070596070596
2.0,2.0,8.0,2.2377716302871704,0.8964749536178108
2.0,2.0,9.0,2.257455348968506,0.9115717615717615
2.0,2.0,10.0,2.230863928794861,0.9110056610056609
2.0,2.0,11.0,2.284782648086548,0.8768786768786769
2.0,2.0,12.0,2.2275891304016113,0.916573902288188
2.0,2.0,13.0,2.2404621839523315,0.9244588744588745
2.0,2.0,14.0,2.2172266244888306,0.916883116883117
2.0,2.0,15.0,2.2119948863983154,0.9098556998556999
2.0,2.0,16.0,2.230937957763672,0.9387445887445889
2.0,2.0,17.0,2.2069541215896606,0.9376623376623375
2.0,2.0,18.0,2.225900173187256,0.8858141858141859
2.0,2.0,19.0,2.258473753929138,0.8758116883116884
2.0,2.0,20.0,2.2086538076400757,0.9376623376623375
2.0,2.0,21.0,2.2349859476089478,0.9376623376623375
2.0,2.0,22.0,2.2231740951538086,0.916883116883117
2.0,2.0,23.0,2.2186484336853027,0.92987012987013
2.0,2.0,24.0,2.291162848472595,0.8748423005565863
2.0,2.0,25.0,2.2284507751464844,0.8957946815089672
2.0,2.0,26.0,2.284891963005066,0.9244588744588745
2.0,2.0,27.0,2.2484471797943115,0.895930735930736
2.0,2.0,28.0,2.218265414237976,0.9244588744588745
2.0,2.0,29.0,2.2962300777435303,0.8613213770356627
2.0,2.0,30.0,2.236400604248047,0.8827272727272727
2.0,3.0,1.0,2.2220102548599243,0.9169250917150076
2.0,3.0,2.0,2.205771803855896,0.939935064935065
2.0,3.0,3.0,2.2061625719070435,0.9256935788669535
2.0,3.0,4.0,2.2182867527008057,0.8896650968079539
2.0,3.0,5.0,2.215986132621765,0.8749813285638143
2.0,3.0,6.0,2.206230401992798,0.8896650968079539
2.0,3.0,7.0,2.2180227041244507,0.903995039311271
2.0,3.0,8.0,2.2100741863250732,0.9169250917150076
2.0,3.0,9.0,2.2131145000457764,0.9171692919592079
2.0,3.0,10.0,2.2209959030151367,0.9193001443001444
2.0,3.0,11.0,2.209680438041687,0.9171692919592079
2.0,3.0,12.0,2.234038472175598,0.8496479244378404
2.0,3.0,13.0,2.200519561767578,0.9378042125941286
2.0,3.0,14.0,2.221361756324768,0.903430571099744
2.0,3.0,15.0,2.2151800394058228,0.8978458049886621
2.0,3.0,16.0,2.225549340248108,0.8616604217444552
2.0,3.0,17.0,2.1989009380340576,0.924874160190392
2.0,3.0,18.0,2.2128554582595825,0.903995039311271
2.0,3.0,19.0,2.2218371629714966,0.8910489836960425
2.0,3.0,20.0,2.232575535774231,0.896290171080087
2.0,3.0,21.0,2.19718337059021,0.9378042125941286
2.0,3.0,22.0,2.2094638347625732,0.9169250917150076
2.0,3.0,23.0,2.2028785943984985,0.9378042125941286
2.0,3.0,24.0,2.210548520088196,0.9169250917150076
2.0,3.0,25.0,2.1934447288513184,0.9169250917150076
2.0,3.0,26.0,2.1981263160705566,0.9169250917150076
2.0,3.0,27.0,2.200396418571472,0.9270050125313284
2.0,3.0,28.0,2.20820951461792,0.9378042125941286
2.0,3.0,29.0,2.201777458190918,0.9169250917150076
2.0,3.0,30.0,2.266711115837097,0.8833601186763504
2.0,4.0,1.0,2.1917262077331543,0.9292577030812325
2.0,4.0,2.0,2.197632908821106,0.958095238095238
2.0,4.0,3.0,2.17720365524292,0.958095238095238
2.0,4.0,4.0,2.1547967195510864,0.9374603174603174
2.0,4.0,5.0,2.2044684886932373,0.9165079365079365
2.0,4.0,6.0,2.1380622386932373,0.958095238095238
2.0,4.0,7.0,2.19158673286438,0.9236904761904762
2.0,4.0,8.0,2.2014492750167847,0.958095238095238
2.0,4.0,9.0,2.2034250497817993,0.9374603174603174
2.0,4.0,10.0,2.1627005338668823,0.9440986394557823
2.0,4.0,11.0,2.182318687438965,0.9440986394557823
2.0,4.0,12.0,2.1804646253585815,0.958095238095238
2.0,4.0,13.0,2.1614025831222534,0.958095238095238
2.0,4.0,14.0,2.1884113550186157,0.9441269841269841
2.0,4.0,15.0,2.195787191390991,0.979047619047619
2.0,4.0,16.0,2.1700634956359863,0.979047619047619
2.0,4.0,17.0,2.170599937438965,0.979047619047619
2.0,4.0,18.0,2.1508206129074097,0.979047619047619
2.0,4.0,19.0,2.1889151334762573,0.9584126984126984
2.0,4.0,20.0,2.169055223464966,0.979047619047619
2.0,4.0,21.0,2.178953766822815,0.979047619047619
2.0,4.0,22.0,2.1820523738861084,0.979047619047619
2.0,4.0,23.0,2.248712420463562,0.9582683982683983
2.0,4.0,24.0,2.1804651021957397,0.9314285714285713
2.0,4.0,25.0,2.252370595932007,0.9552380952380951
2.0,4.0,26.0,2.200352668762207,0.9346031746031745
2.0,4.0,27.0,2.2520694732666016,0.9552380952380951
2.0,4.0,28.0,2.213774561882019,0.9432034632034633
2.0,4.0,29.0,2.2064836025238037,0.9459584859584859
2.0,4.0,30.0,2.2131943702697754,0.9459584859584859
2.0,5.0,1.0,2.121886730194092,0.9576067581182671
2.0,5.0,2.0,2.1572492122650146,0.9190061146582885
2.0,5.0,3.0,2.1314936876296997,0.8886563848200677
2.0,5.0,4.0,2.1337555646896362,0.9318840579710145
2.0,5.0,5.0,2.1319183111190796,0.9432896742359659
2.0,5.0,6.0,2.1406668424606323,0.914601454243398
2.0,5.0,7.0,2.185256242752075,0.9221644361232462
2.0,5.0,8.0,2.1275683641433716,0.9112867808519982
2.0,5.0,9.0,2.12822949886322,0.9056653491436101
2.0,5.0,10.0,2.138097643852234,0.9036312784596539
2.0,5.0,11.0,2.1601237058639526,0.9278235113475387
2.0,5.0,12.0,2.120487332344055,0.9667356797791581
2.0,5.0,13.0,2.1396968364715576,0.9660818713450293
2.0,5.0,14.0,2.134284019470215,0.9509379509379509
2.0,5.0,15.0,2.1230297088623047,0.9720183198444068
2.0,5.0,16.0,2.133939504623413,0.940397491312823
2.0,5.0,17.0,2.1363298892974854,0.9397891963109354
2.0,5.0,18.0,2.1370186805725098,0.9415458937198068
2.0,5.0,19.0,2.142190933227539,0.9518664909969259
2.0,5.0,20.0,2.1608707904815674,0.9077100964972818
2.0,5.0,21.0,2.122494339942932,0.9419502863438789
2.0,5.0,22.0,2.1257790327072144,0.9643700431424215
2.0,5.0,23.0,2.143157124519348,0.9506605776628659
2.0,5.0,24.0,2.129956364631653,0.9109538940740987
2.0,5.0,25.0,2.1210609674453735,0.9646025472112429
2.0,5.0,26.0,2.1288254261016846,0.9507054468691297
2.0,5.0,27.0,2.131271719932556,0.9304814679494987
2.0,5.0,28.0,2.128525972366333,0.9592822636300897
2.0,5.0,29.0,2.1329203844070435,0.9379245214485489
2.0,5.0,30.0,2.1682056188583374,0.9419951555501427
3.0,1.0,1.0,3.341373085975647,0.17262734666422064
3.0,1.0,2.0,3.2407424449920654,0.28967172536540614
3.0,1.0,3.0,3.1619549989700317,0.3111345852616378
3.0,1.0,4.0,3.1253386735916138,0.3444941467593033
3.0,1.0,5.0,3.0647257566452026,0.4350999211758706
3.0,1.0,6.0,2.9950302839279175,0.4527744087762899
3.0,1.0,7.0,2.9606252908706665,0.47468362695466193
3.0,1.0,8.0,2.8853631019592285,0.5416315049226442
3.0,1.0,9.0,2.8943724632263184,0.448592187162552
3.0,1.0,10.0,2.8448140621185303,0.5057525249632473
3.0,1.0,11.0,2.827284812927246,0.49899994520247687
3.0,1.0,12.0,2.8187896013259888,0.5379827420035908
3.0,1.0,13.0,2.803001284599304,0.4668200997314922
3.0,1.0,14.0,2.7790802717208862,0.5989207032511498
3.0,1.0,15.0,2.816365957260132,0.5564463665729489
3.0,1.0,16.0,2.8144813776016235,0.5546493012241337
3.0,1.0,17.0,2.8165557384490967,0.5648942602032698
3.0,1.0,18.0,2.7989453077316284,0.5779369860717589
3.0,1.0,19.0,2.8412270545959473,0.5364553870882984
3.0,1.0,20.0,2.790855050086975,0.5683629214510588
3.0,1.0,21.0,2.8209030628204346,0.5890033892639999
3.0,1.0,22.0,2.8165533542633057,0.5904678262087049
