phase,fold,epoch,loss,accuracy
5,5,1,3.3004313309987388,0.49231607410572037
5,5,2,3.3124987284342446,0.6018107131854424
5,5,3,3.2757064501444497,0.5664022894450393
5,5,4,3.277537743250529,0.5501878449748531
5,5,5,3.3154988288879395,0.49371856227521366
5,5,6,3.286526600519816,0.5597695662294296
5,5,7,3.314075549443563,0.5711918820749772
5,5,8,3.2994911670684814,0.5660159328410208
5,5,9,3.363415002822876,0.440946618293516
5,5,10,3.299065272013346,0.5176886548930482
5,5,11,3.35327140490214,0.5148235548750837
5,5,12,3.3367496331532798,0.5749298966674597
5,5,13,3.335991938908895,0.5256880638152108
5,5,14,3.360737959543864,0.5386515360602473
5,5,15,3.3147979577382407,0.5407383793089823
5,5,16,3.3691837787628174,0.5313758489767861
5,5,17,3.360457261403402,0.582700592821516
5,5,18,3.332045396169027,0.5839589080969123
5,5,19,3.3639946778615317,0.5906547545020868
5,5,20,3.3934574921925864,0.5525139020860619
