phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
1,5,1,1.592588503481978,1.5484169721603394,0.9636363636363636,0.0001
1,5,2,3.1606672840603327,1.563522458076477,0.9636363636363636,0.0001
1,5,3,4.715542676085133,1.5417139530181885,0.9636363636363636,0.0001
1,5,4,6.26043084314314,1.5511562824249268,0.9636363636363636,0.0001
1,5,5,7.791305699590909,1.5324171781539917,0.9823854306612927,0.0001
1,5,6,9.315325945110644,1.5270622968673706,0.9465662126919734,0.0001
1,5,7,10.834554710630643,1.5279936790466309,0.9629865739399208,0.0001
1,5,8,12.34268490742829,1.5117788314819336,0.9823854306612927,1e-05
1,5,9,13.85058551319575,1.537657380104065,0.964792813677195,1e-05
1,5,10,15.355789915990021,1.5252134799957275,1.0,1e-05
