phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
9,5,1,3.1899077879415976,3.7117127180099487,0.7462500663587619,0.0001
9,5,2,6.378475887710984,3.7382595539093018,0.7714276730678377,0.0001
9,5,3,9.562944505880544,3.717709183692932,0.7788985772681425,0.0001
9,5,4,12.748529022663563,3.702166438102722,0.7711253319948972,0.0001
9,5,5,15.928516888403678,3.747725009918213,0.7712989506467768,0.0001
9,5,6,19.109134813257167,3.717364192008972,0.8112969541135893,0.0001
9,5,7,22.288629585987813,3.6895058155059814,0.8270739557924913,0.0001
9,5,8,25.467057281786257,3.6753681898117065,0.8208676186937057,1e-05
9,5,9,28.64435333690128,3.7042834758758545,0.820122227069297,1e-05
9,5,10,31.821982371699704,3.6843680143356323,0.8263365039357478,1e-05
