epoch,loss,accuracy
1,3.323999118804932,0.36606901870059766
2,3.056429362297058,0.6933729067629997
3,2.960120177268982,0.6795268270826613
4,2.8973299741744993,0.6639696108573409
5,2.8512179136276243,0.6830769650163673
6,2.8191777229309083,0.6844684659857265
7,2.797685980796814,0.7157526078909916
8,2.782629203796387,0.7053096710015034
9,2.774244260787964,0.710736101387071
10,2.768289494514465,0.7281148742768214
11,2.7621906757354737,0.7371445217052656
12,2.757683825492859,0.7231075866344479
13,2.753600811958313,0.7292452715815284
14,2.7498303174972536,0.7584721297889263
15,2.747081685066223,0.7599819795289895
16,2.7446050882339477,0.7668358719295658
17,2.743207406997681,0.7815281049043474
18,2.74146945476532,0.7542259486319394
19,2.7403716325759886,0.7764888790051914
20,2.7392855882644653,0.7586587325925592
21,2.7385019302368163,0.7617498208886508
22,2.7376254558563233,0.7761548867911912
23,2.7371042251586912,0.7693266335972173
24,2.7366742849349976,0.7970994248450659
25,2.7362155437469484,0.788853899914446
26,2.7359104633331297,0.767614883868172
27,2.735483431816101,0.7836431386804745
28,2.7351574182510374,0.7991626805239784
29,2.7347461462020872,0.7913622113650807
30,2.7346142530441284,0.7816951866604619
31,2.734417128562927,0.7543734227356731
32,2.734184002876282,0.7824293212407207
33,2.7339224576950074,0.7889441986598325
34,2.7337271928787232,0.7862883751451668
35,2.7335736751556396,0.7985701621214298
36,2.7333359241485597,0.7919108976588201
37,2.733203721046448,0.7802483068271377
38,2.733108401298523,0.7805933084221683
39,2.7329709053039553,0.764779780795051
40,2.732884907722473,0.7409684728740208
41,2.732820510864258,0.7783099039226974
42,2.732745051383972,0.7510978549354624
43,2.732671856880188,0.7715048449562755
44,2.732590675354004,0.7686437962305649
45,2.7325159072875977,0.7737953101159879
46,2.732469630241394,0.7484054533377599
47,2.732388639450073,0.7420749570590874
48,2.732364869117737,0.7502164052713008
49,2.7323280811309814,0.7690343049901001
50,2.7322431564331056,0.7503380328697087
