phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
9,5,1,3.196515768497914,3.65191113948822,0.7627764463442214,0.0001
9,5,2,6.384297792761175,3.642449140548706,0.7461029509942554,0.0001
9,5,3,9.57567451494234,3.6338011026382446,0.7946028206897772,0.0001
9,5,4,12.761924593298286,3.643725633621216,0.7777512727418209,0.0001
9,5,5,15.947702299152409,3.655385971069336,0.8025933388882349,0.0001
9,5,6,19.13128118300223,3.673731565475464,0.7894294916034047,0.0001
9,5,7,22.31028043901598,3.6498138904571533,0.7995399125833909,0.0001
9,5,8,25.49158386883435,3.6562912464141846,0.7822225261261178,1e-05
9,5,9,28.67203316602621,3.636518955230713,0.7892941197289024,1e-05
9,5,10,31.851938594354166,3.6890088319778442,0.803088336783989,1e-05
