phase,fold,epoch,loss,accuracy,learning_rate,train_loss,val_loss
7.0,3.0,2.0,,0.7023128353291997,0.0001,6.055627177449948,3.3881402015686035
7.0,3.0,3.0,,0.6968500443655723,0.0001,9.069508957563583,3.3946657180786133
7.0,3.0,4.0,,0.6930145971432051,0.0001,12.072867742642199,3.3949360847473145
7.0,3.0,5.0,,0.7393508918719002,0.0001,15.070490328337858,3.3982667922973633
7.0,3.0,6.0,,0.7131175105301598,0.0001,18.062965763163866,3.4044272899627686
7.0,3.0,7.0,,0.7200667608185104,0.0001,21.057567995462456,3.4079411029815674
7.0,3.0,8.0,,0.7041834915784495,1e-05,24.04263806243322,3.394031524658203
7.0,3.0,9.0,,0.7295205817502043,1e-05,27.025310134289153,3.402465343475342
7.0,3.0,10.0,,0.7133455342921483,1e-05,30.011699056026824,3.395667791366577
7.0,4.0,1.0,,0.7296648086876254,0.0001,3.014773096499583,3.3773810863494873
7.0,4.0,2.0,,0.7198307393132694,0.0001,6.012618118749004,3.375060558319092
7.0,4.0,3.0,,0.7526570962375007,0.0001,9.003233566443791,3.379563808441162
7.0,4.0,4.0,,0.7685369487955538,0.0001,11.991748274120825,3.374667167663574
7.0,4.0,5.0,,0.7609850894394434,0.0001,14.97491889817944,3.3814871311187744
7.0,4.0,6.0,,0.7574989726562431,0.0001,17.956713742292077,3.3859620094299316
7.0,4.0,7.0,,0.7410400057458882,0.0001,20.93688191230327,3.3835461139678955
7.0,4.0,8.0,,0.7619739602380029,1e-05,23.909639675746902,3.3705620765686035
7.0,4.0,9.0,,0.757854657014321,1e-05,26.886547062686297,3.3716204166412354
7.0,4.0,10.0,,0.7661214688304473,1e-05,29.857985438662094,3.3667376041412354
7.0,5.0,1.0,,0.6633491158701241,0.0001,2.9958521840961407,3.387448787689209
7.0,5.0,2.0,,0.678587798755866,0.0001,5.977117735970469,3.386746883392334
7.0,5.0,3.0,,0.7399551793961731,0.0001,8.962615275482753,3.382530450820923
7.0,5.0,4.0,,0.7382787046104546,0.0001,11.939843191761351,3.3835039138793945
7.0,5.0,5.0,,0.7694041719251803,0.0001,14.915720123626198,3.392711877822876
7.0,5.0,6.0,,0.7685052995557197,0.0001,17.88662041879598,3.394394636154175
7.0,5.0,7.0,,0.7612972928098978,0.0001,20.858833158365353,3.3828933238983154
7.0,5.0,8.0,,0.7657191081560829,1e-05,23.830085631693755,3.3790576457977295
7.0,5.0,9.0,,0.7355511705356905,1e-05,26.799434987072168,3.3952553272247314
7.0,5.0,10.0,,0.7489314505573182,1e-05,29.76614751476623,3.379347801208496
8.0,1.0,1.0,,0.14732288073155256,0.0001,3.9530481988398725,4.261207818984985
8.0,1.0,2.0,,0.2144900106073008,0.0001,7.631757182043952,3.9770569801330566
8.0,1.0,3.0,,0.22752196765034577,0.0001,11.184779238977027,3.810749650001526
8.0,1.0,4.0,,0.24290607140344342,0.0001,14.636333052255932,3.727518916130066
8.0,1.0,5.0,,0.30341350928866234,0.0001,18.019408567531688,3.6792415380477905
8.0,1.0,6.0,,0.33035336756266986,0.0001,21.34972788652398,3.650219678878784
8.0,1.0,7.0,,0.31210631247350956,0.0001,24.6327918726505,3.6411386728286743
8.0,1.0,8.0,,0.3292248012665249,1e-05,27.89261567546594,3.62845778465271
8.0,1.0,9.0,,0.3419159469005415,1e-05,31.144963583890995,3.6384960412979126
8.0,1.0,10.0,,0.35633637181984795,1e-05,34.400693061268925,3.6439642906188965
8.0,2.0,1.0,,0.40728160787231626,0.0001,3.286624289847709,3.6024385690689087
8.0,2.0,2.0,,0.4350259950414279,0.0001,6.514768119944569,3.597536087036133
8.0,2.0,3.0,,0.4402543193240867,0.0001,9.710128326673765,3.5521692037582397
8.0,2.0,4.0,,0.458960562081737,0.0001,12.88535043907902,3.52819561958313
8.0,2.0,5.0,,0.4605078384148152,0.0001,16.042043968517348,3.541837453842163
8.0,2.0,6.0,,0.5226654761954828,0.0001,19.19332511544688,3.5271068811416626
8.0,2.0,7.0,,0.5058883188386153,0.0001,22.333257443196064,3.527485489845276
8.0,2.0,8.0,,0.5047347545295562,1e-05,25.465720254021722,3.531347393989563
8.0,2.0,9.0,,0.5088221210314233,1e-05,28.598757560648973,3.536406397819519
8.0,2.0,10.0,,0.507601786671554,1e-05,31.736334503387393,3.52988064289093
8.0,3.0,1.0,,0.5583693727924498,0.0001,3.1617598901844395,3.517037034034729
8.0,3.0,2.0,,0.6185552268244576,0.0001,6.302992807852255,3.525896430015564
8.0,3.0,3.0,,0.6471012285325217,0.0001,9.435988608474437,3.511087417602539
8.0,3.0,4.0,,0.6063203463203463,0.0001,12.559332771190805,3.519523024559021
8.0,3.0,5.0,,0.6783800477525174,0.0001,15.67705907784834,3.5135438442230225
8.0,3.0,6.0,,0.7000678808371116,0.0001,18.790100251385603,3.488863468170166
8.0,3.0,7.0,,0.7244072342941121,0.0001,21.90497661557437,3.492069363594055
8.0,3.0,8.0,,0.6571731473654551,1e-05,25.011384360118264,3.4966307878494263
8.0,3.0,9.0,,0.6734530853761623,1e-05,28.122412412783355,3.495652914047241
8.0,3.0,10.0,,0.6897454682070067,1e-05,31.22923710539534,3.484493851661682
8.0,4.0,1.0,,0.6148486526393503,0.0001,3.126602471908393,3.4938184022903442
8.0,4.0,2.0,,0.6439500308173358,0.0001,6.240190669520971,3.4777121543884277
8.0,4.0,3.0,,0.6740547958400216,0.0001,9.353284515167706,3.4862558841705322
8.0,4.0,4.0,,0.6580224039526364,0.0001,12.459458580366219,3.478956460952759
8.0,4.0,5.0,,0.6530269902362924,0.0001,15.567084259610185,3.4869606494903564
8.0,4.0,6.0,,0.7331360850944695,0.0001,18.665301644044117,3.472152829170227
8.0,4.0,7.0,,0.7156208132952319,0.0001,21.76632530794897,3.487119436264038
8.0,4.0,8.0,,0.7005209906372696,1e-05,24.86523274190164,3.474082350730896
8.0,4.0,9.0,,0.7038880370275719,1e-05,27.96368742816021,3.481967806816101
8.0,4.0,10.0,,0.7194965026360375,1e-05,31.058475574317008,3.487822413444519
8.0,5.0,1.0,,0.7482114616088327,0.0001,3.103657218991906,3.484283685684204
8.0,5.0,2.0,,0.7377578426736816,0.0001,6.200877434486139,3.4938197135925293
8.0,5.0,3.0,,0.7256071232815418,0.0001,9.296784825867082,3.4859362840652466
8.0,5.0,4.0,,0.6800368451531242,0.0001,12.389855617732671,3.5021616220474243
8.0,5.0,5.0,,0.740510162047068,0.0001,15.482622334493149,3.4800806045532227
8.0,5.0,6.0,,0.7506551940403252,0.0001,18.569274001957595,3.4756909608840942
8.0,5.0,7.0,,0.7237583183062402,0.0001,21.657125440865812,3.489666223526001
8.0,5.0,8.0,,0.7320184552742692,1e-05,24.741557982615653,3.4881107807159424
8.0,5.0,9.0,,0.7253077933563273,1e-05,27.826421518086928,3.484544038772583
8.0,5.0,10.0,,0.7394295717429132,1e-05,30.90793831637829,3.4883087873458862
9.0,1.0,1.0,,0.11636338701556094,0.0001,4.088386804188201,4.37421178817749
9.0,1.0,2.0,,0.15045892949101047,0.0001,7.882832682089685,4.174254417419434
9.0,1.0,3.0,,0.2371260067543505,0.0001,11.524042522864221,3.9821650981903076
9.0,1.0,4.0,,0.31048105302742685,0.0001,15.060017400700263,3.8773924112319946
9.0,1.0,5.0,,0.32157496352677395,0.0001,18.523197767106204,3.808420419692993
9.0,1.0,6.0,,0.38006521828032125,0.0001,21.928908382512173,3.7717316150665283
9.0,1.0,7.0,,0.39445040711581353,0.0001,25.290559772119625,3.746099829673767
9.0,1.0,8.0,,0.4274224865286919,1e-05,28.629681243793197,3.7488986253738403
9.0,1.0,9.0,,0.44770427856644035,1e-05,31.965361806029446,3.743698239326477
9.0,1.0,10.0,,0.4376351052067838,1e-05,35.29650752380867,3.747857689857483
9.0,2.0,1.0,,0.5074501257281577,0.0001,3.369175465098357,3.740807294845581
9.0,2.0,2.0,,0.6303094248746423,0.0001,6.671678951070628,3.700030207633972
9.0,2.0,3.0,,0.7160180957125364,0.0001,9.95362543629395,3.670830726623535
9.0,2.0,4.0,,0.6625762522501653,0.0001,13.215387907269198,3.668258786201477
9.0,2.0,5.0,,0.7008907427705382,0.0001,16.466167766694987,3.65749192237854
9.0,2.0,6.0,,0.6753639441493883,0.0001,19.70318955290619,3.6767425537109375
9.0,2.0,7.0,,0.6978007665347818,0.0001,22.929181599014502,3.6460784673690796
9.0,2.0,8.0,,0.67699277733193,1e-05,26.15156495442029,3.6518404483795166
9.0,2.0,9.0,,0.7190686055011085,1e-05,29.372665660906353,3.6497052907943726
9.0,2.0,10.0,,0.6668720973068799,1e-05,32.59355020006641,3.6777888536453247
9.0,3.0,1.0,,0.6669472559944083,0.0001,3.2440326816338496,3.6403567790985107
9.0,3.0,2.0,,0.7200267425293596,0.0001,6.465429080522448,3.660850405693054
9.0,3.0,3.0,,0.7161757233889002,0.0001,9.683786537673068,3.6379265785217285
9.0,3.0,4.0,,0.7214916210467138,0.0001,12.89879710321392,3.6222814321517944
9.0,3.0,5.0,,0.737119777861921,0.0001,16.102794547373637,3.630629539489746
9.0,3.0,6.0,,0.7858936024292283,0.0001,19.303646056660675,3.694477677345276
9.0,3.0,7.0,,0.7656746517249446,0.0001,22.503494183509357,3.6957223415374756
9.0,3.0,8.0,,0.7565796632928067,1e-05,25.70189664768398,3.650839924812317
9.0,3.0,9.0,,0.7635637708320738,1e-05,28.898407746738474,3.6742143630981445
9.0,3.0,10.0,,0.7715507069049622,1e-05,32.09654157342463,3.645278215408325
9.0,4.0,1.0,,0.6996320992164982,0.0001,3.2190392842163913,3.625567674636841
9.0,4.0,2.0,,0.7022658784807123,0.0001,6.430193878294111,3.6767776012420654
9.0,4.0,3.0,,0.7493637716884453,0.0001,9.628417909467542,3.663471817970276
9.0,4.0,4.0,,0.778087069934896,0.0001,12.824131433813422,3.6139397621154785
9.0,4.0,5.0,,0.8323007909964432,0.0001,16.019061718330725,3.611770272254944
9.0,4.0,6.0,,0.8297126214746352,0.0001,19.208218163842552,3.6170750856399536
9.0,4.0,7.0,,0.7983038700430005,0.0001,22.39548479114567,3.6008745431900024
9.0,4.0,8.0,,0.8386236348192869,1e-05,25.580824705501936,3.5989409685134888
9.0,4.0,9.0,,0.8299180891572197,1e-05,28.767157830418768,3.6087461709976196
9.0,4.0,10.0,,0.8333866616475312,1e-05,31.956328414367125,3.603262782096863
9.0,5.0,1.0,,0.7627764463442214,0.0001,3.196515768497914,3.65191113948822
9.0,5.0,2.0,,0.7461029509942554,0.0001,6.384297792761175,3.642449140548706
9.0,5.0,3.0,,0.7946028206897772,0.0001,9.57567451494234,3.6338011026382446
9.0,5.0,4.0,,0.7777512727418209,0.0001,12.761924593298286,3.643725633621216
9.0,5.0,5.0,,0.8025933388882349,0.0001,15.947702299152409,3.655385971069336
9.0,5.0,6.0,,0.7894294916034047,0.0001,19.13128118300223,3.673731565475464
9.0,5.0,7.0,,0.7995399125833909,0.0001,22.31028043901598,3.6498138904571533
9.0,5.0,8.0,,0.7822225261261178,1e-05,25.49158386883435,3.6562912464141846
9.0,5.0,9.0,,0.7892941197289024,1e-05,28.67203316602621,3.636518955230713
9.0,5.0,10.0,,0.803088336783989,1e-05,31.851938594354166,3.6890088319778442
10.0,1.0,1.0,,0.0744416443188398,0.0001,4.186218382921506,4.494868040084839
10.0,1.0,2.0,,0.113264960244826,0.0001,8.070826559959846,4.304805517196655
10.0,1.0,3.0,,0.16501333021613152,0.0001,11.791546260234105,4.1392982006073
10.0,1.0,4.0,,0.18440064733335662,0.0001,15.405991720116656,4.02772331237793
