phase,fold,epoch,loss,accuracy
6,5,1,3.331053614616394,0.7306478389991612
6,5,2,3.339322090148926,0.7522112653791013
6,5,3,3.3580793142318726,0.7106510417087859
6,5,4,3.3330849409103394,0.7782255568349243
6,5,5,3.3228665590286255,0.7518476127218708
6,5,6,3.3472607135772705,0.7451896891859114
6,5,7,3.334583282470703,0.7949912937095882
6,5,8,3.3390982151031494,0.7905218215255991
6,5,9,3.3317753076553345,0.7620770576787845
6,5,10,3.3508538007736206,0.7658801652865334
6,5,11,3.3419872522354126,0.7299925864146048
6,5,12,3.3647466897964478,0.7159025180611797
6,5,13,3.343343138694763,0.8125282973906827
6,5,14,3.3311461210250854,0.7869641990796875
6,5,15,3.342111587524414,0.7947718648204346
6,5,16,3.346496343612671,0.7972509651408735
6,5,17,3.3645458221435547,0.7679484034583871
6,5,18,3.3699951171875,0.7822833339832801
6,5,19,3.3419992923736572,0.784474109568551
6,5,20,3.3554571866989136,0.8060215523518275
6,5,21,3.3616360425949097,0.7489412473357427
6,5,22,3.334165573120117,0.7928291382419822
6,5,23,3.3653193712234497,0.742197023160326
6,5,24,3.3726426362991333,0.73301471269631
6,5,25,3.364096522331238,0.7983882071038034
6,5,26,3.373493194580078,0.7787638202775817
6,5,27,3.3613553047180176,0.7958904709849125
6,5,28,3.3633718490600586,0.7728703825374942
6,5,29,3.3234864473342896,0.8008810251929518
6,5,30,3.354543924331665,0.7404061789382891
