phase,fold,epoch,loss,accuracy
4,5,1,2.8740917444229126,0.8432162534435261
4,5,2,2.922324776649475,0.8409090909090909
4,5,3,2.891090750694275,0.8699632067279126
4,5,4,2.880775570869446,0.8350378787878788
4,5,5,2.8853132724761963,0.8618360805860804
4,5,6,2.879195809364319,0.8295852765772551
4,5,7,2.8721137046813965,0.8868686868686869
4,5,8,2.8667094707489014,0.8420454545454544
4,5,9,2.864821434020996,0.8686663715072804
4,5,10,2.892954111099243,0.8332846075493133
4,5,11,2.8901032209396362,0.8827115694762753
4,5,12,2.9035415649414062,0.8105032222679281
4,5,13,2.8967617750167847,0.8653504583651642
4,5,14,2.9059242010116577,0.8300059417706476
4,5,15,2.904703736305237,0.8528835432244523
4,5,16,2.9160497188568115,0.8554518398268397
4,5,17,2.881315588951111,0.8922258297258296
4,5,18,2.90647029876709,0.8127122877122877
4,5,19,2.9087483882904053,0.8140738940204181
4,5,20,2.8971776962280273,0.8809659090909091
4,5,21,2.9207990169525146,0.8581349206349206
4,5,22,2.9033008813858032,0.8386344344900494
4,5,23,2.926315665245056,0.8442104872251931
4,5,24,2.9244067668914795,0.8411663091810149
4,5,25,2.8936052322387695,0.8471174547377754
4,5,26,2.909361958503723,0.834018759018759
4,5,27,2.9384833574295044,0.7639204545454544
4,5,28,2.959508776664734,0.7772005772005772
4,5,29,2.9090049266815186,0.8195075757575758
4,5,30,2.912035822868347,0.8253933566433567
