phase,fold:,epoch,loss,accuracy
5,5,1,3.4789804816246033,0.37780262231672895
5,5,2,3.3978806734085083,0.4163860830527497
5,5,3,3.3710262179374695,0.4116532914778529
5,5,4,3.4069693088531494,0.40813969980636655
5,5,5,3.441571533679962,0.3630924729855211
5,5,6,3.44137841463089,0.37934668817021755
5,5,7,3.431964159011841,0.3564076215591367
5,5,8,3.4364800453186035,0.3611541096389581
5,5,9,3.437434673309326,0.4117689770799819
5,5,10,3.4341074228286743,0.394224344383834
5,5,11,3.4379303455352783,0.3815016732129032
5,5,12,3.438882291316986,0.3974747573678055
5,5,13,3.436195433139801,0.4195147725450756
5,5,14,3.437157928943634,0.3942221639191336
5,5,15,3.4455150365829468,0.38233052020930813
5,5,16,3.4422895312309265,0.41703835874958867
5,5,17,3.4439521431922913,0.4446686969859876
5,5,18,3.440225303173065,0.42890425482132016
5,5,19,3.4488839507102966,0.42711946731554573
5,5,20,3.447092354297638,0.42204002507032806
5,5,21,3.448340594768524,0.4594476511143178
5,5,22,3.449739992618561,0.42731988418262923
5,5,23,3.4510509967803955,0.4334887153514605
5,5,24,3.449703097343445,0.42469536636203303
5,5,25,3.449866771697998,0.4171396504729838
5,5,26,3.4501800537109375,0.4175124258457592
5,5,27,3.454888105392456,0.3922571354835169
5,5,28,3.4528512954711914,0.4164755097018912
5,5,29,3.4554160833358765,0.40503264972961944
5,5,30,3.453057885169983,0.40668007637704606
