phase,fold:,epoch,loss,accuracy
4,5,1,2.946948448816935,0.7952503039225527
4,5,2,2.9894638061523438,0.7865662115662115
4,5,3,2.9632276693979898,0.7944347319347319
4,5,4,2.9483393828074136,0.8027077454709034
4,5,5,2.944655736287435,0.8063062303193882
4,5,6,2.939516305923462,0.7926067353698933
4,5,7,2.9479025999704995,0.7833200179280957
4,5,8,2.9452025095621743,0.7999284095364871
4,5,9,2.939612070719401,0.7999284095364871
4,5,10,2.937599500020345,0.8260064981145757
4,5,11,2.9407477378845215,0.8258235185866764
4,5,12,2.9493563969930015,0.8020764323395903
4,5,13,2.9442142645517984,0.8350989653621231
4,5,14,2.9463582833607993,0.8132899662803968
4,5,15,2.9404374758402505,0.8298983578887885
4,5,16,2.9393736521402993,0.828785834048992
4,5,17,2.9413866996765137,0.828785834048992
4,5,18,2.9409143129984536,0.828785834048992
4,5,19,2.943996032079061,0.8186848239479819
4,5,20,2.949993928273519,0.7929044991034858
4,5,21,2.9426178137461343,0.8451999754631333
4,5,22,2.9442310333251953,0.7830787633419213
4,5,23,2.944270054499308,0.8259270321260188
4,5,24,2.947246710459391,0.7763755734836512
4,5,25,2.9468835989634194,0.8029701909873596
4,5,26,2.9496862093607583,0.7602720246260918
4,5,27,2.941640059153239,0.7967718438799216
4,5,28,2.9476309617360434,0.7878981418244013
4,5,29,2.9452804724375405,0.7763755734836512
4,5,30,2.955728530883789,0.7613845484658881
