phase,fold:,epoch,loss,accuracy
6,5,1,3.662639796733856,0.49913824573409316
6,5,2,3.6934207677841187,0.46824486675404103
6,5,3,3.6709924936294556,0.45180760769611983
6,5,4,3.637823164463043,0.5242343231212632
6,5,5,3.641457200050354,0.49831622251347013
6,5,6,3.6335098147392273,0.5304991262560069
6,5,7,3.626255989074707,0.5618412168870884
6,5,8,3.622198462486267,0.5623046195716404
6,5,9,3.6235339641571045,0.5796742198214083
6,5,10,3.6273990273475647,0.5482840473977684
6,5,11,3.6315767765045166,0.5464753970764727
6,5,12,3.6322556734085083,0.5441639400354996
6,5,13,3.6271910071372986,0.5520913485252047
6,5,14,3.628091335296631,0.5582238932286385
6,5,15,3.627671957015991,0.5491335372069317
6,5,16,3.624585211277008,0.5459914773264979
6,5,17,3.628356397151947,0.5529709989461394
6,5,18,3.632440507411957,0.5556675740161978
6,5,19,3.6272976398468018,0.5593977887555869
6,5,20,3.6357051730155945,0.5524605434285914
6,5,21,3.634247660636902,0.5340091101558991
6,5,22,3.6293894052505493,0.5578671144314927
6,5,23,3.632738947868347,0.5570571630204657
6,5,24,3.6272698044776917,0.5446506163526094
6,5,25,3.633279502391815,0.5439806201274091
6,5,26,3.629388689994812,0.5638101011084244
6,5,27,3.6360450387001038,0.5339537189584642
6,5,28,3.6352959275245667,0.5566791586563811
6,5,29,3.62829452753067,0.5461833104034939
6,5,30,3.628072679042816,0.5466941145840228
