phase,fold,epoch,loss,accuracy
3,5,1,2.6429370244344077,0.8282257459889039
3,5,2,2.6310178438822427,0.8481634106634107
3,5,3,2.6658972899119058,0.8455942205942207
3,5,4,2.653141180674235,0.8094599844599845
3,5,5,2.643707275390625,0.7911449661449661
3,5,6,2.627049525578817,0.844988344988345
3,5,7,2.623347600301107,0.8693884107345645
3,5,8,2.6221871376037598,0.8866225654687193
3,5,9,2.620317538579305,0.8977845516307054
3,5,10,2.620741844177246,0.8516436554898092
3,5,11,2.6247401237487793,0.8622149555347937
3,5,12,2.6186631520589194,0.8576746615208154
3,5,13,2.6237235069274902,0.8682030220491759
3,5,14,2.62259840965271,0.8759896798358338
3,5,15,2.621956984202067,0.8576746615208152
3,5,16,2.618568261464437,0.8866225654687193
3,5,17,2.6229587395985923,0.8682030220491759
3,5,18,2.6255465348561606,0.8347272385733923
3,5,19,2.6238807837168374,0.8665147321255918
3,5,20,2.6187195777893066,0.8654613193074732
3,5,21,2.6223634084065757,0.8875714531823129
3,5,22,2.615682045618693,0.8654613193074732
3,5,23,2.624082644780477,0.8247843324766402
3,5,24,2.622230291366577,0.8256363294824833
3,5,25,2.6204299132029214,0.8250535788997327
3,5,26,2.624052047729492,0.8471463009924548
3,5,27,2.6182541847229004,0.8987437775899314
3,5,28,2.617727756500244,0.8689411727873266
3,5,29,2.6258609294891357,0.8247843324766402
3,5,30,2.620640436808268,0.8657462195923734
