epoch,loss,accuracy
1,3.2228308374231514,0.9073409584567478
2,3.0463838143782183,0.8269253563773687
3,2.9951249686154453,0.9225025734499419
4,2.973214171149514,0.9487902627128635
5,2.9629946621981533,0.9377192818877029
6,2.957770282571966,0.9362667566351777
7,2.9551444487138228,0.9477268592356313
8,2.9535957249728115,0.934719677982836
9,2.952383886684071,0.9222971631978496
10,2.951206228949807,0.9298008961798435
11,2.9504881772128018,0.9222774261857853
12,2.9499837268482554,0.922086949995309
13,2.949537082151933,0.9355186808375663
14,2.9492111206054688,0.9354404853488444
15,2.9488937854766846,0.9341662489557226
16,2.9486816796389492,0.9282197061280653
17,2.9484468590129507,0.9413870281765018
18,2.948262323032726,0.9413870281765018
19,2.9481095617467705,0.9282979016167872
20,2.9479462666945024,0.9356309615393207
21,2.947795282710682,0.9298008961798435
22,2.9476906819777056,0.9231199692636225
23,2.9475774331526323,0.9290623528518266
24,2.9474821524186567,0.9290623528518266
25,2.9473998113112017,0.935004698913058
26,2.947284763509577,0.935004698913058
27,2.9472558064894243,0.928501860712387
28,2.9471624981273306,0.9415527052926432
29,2.9470842751589688,0.9357226399331663
30,2.9470448927445845,0.9357226399331663
31,2.9469857432625512,0.9357226399331663
32,2.946934873407537,0.9360233918128655
33,2.946899349039251,0.9286141414141413
34,2.9468452713706275,0.9415527052926432
35,2.946801792491566,0.9343319260718641
36,2.946763342077082,0.9416649859943976
37,2.9467357938939873,0.9286141414141413
38,2.9466985789212314,0.9357226399331663
39,2.9466614723205566,0.9358349206349207
40,2.9466437859968706,0.9344442067736185
41,2.9466183402321557,0.9286141414141413
42,2.9465900984677402,0.928501860712387
43,2.9465623552148994,0.9344442067736185
44,2.946539943868464,0.9358349206349207
45,2.9465127208016137,0.9347760971055088
46,2.946483763781461,0.929246783625731
47,2.946471777829257,0.9422976282059872
48,2.946446505459872,0.9364675628465102
49,2.9464352997866543,0.935004698913058
50,2.946401010860096,0.9286141414141413
