phase,fold:,epoch,loss,accuracy
7,5,1,3.743513762950897,0.4813990608650408
7,5,2,3.737269401550293,0.3950610547249203
7,5,3,3.737968862056732,0.4691398470810235
7,5,4,3.7424360513687134,0.4973328725429566
7,5,5,3.7657028436660767,0.4721228584673963
7,5,6,3.792632818222046,0.4411890246294596
7,5,7,3.8037737011909485,0.4256694985686582
7,5,8,3.812811255455017,0.4580155138978668
7,5,9,3.816111385822296,0.46622546454479236
7,5,10,3.8260698318481445,0.4382168251916151
7,5,11,3.8316227793693542,0.46398517448937615
7,5,12,3.831712067127228,0.4662555931463494
7,5,13,3.8269141912460327,0.49485934233833395
7,5,14,3.8269197940826416,0.4870420895630979
7,5,15,3.825974941253662,0.4868458805433595
7,5,16,3.8329591751098633,0.4579631852741096
7,5,17,3.8340808153152466,0.49034742101969
7,5,18,3.841826617717743,0.45148059223689474
7,5,19,3.837703585624695,0.48785411600537654
7,5,20,3.836739182472229,0.48421755648646403
7,5,21,3.8421126008033752,0.4710279916162269
7,5,22,3.8364850282669067,0.4964458510676998
7,5,23,3.8400384187698364,0.4717167519688529
7,5,24,3.843654155731201,0.47903343155443995
7,5,25,3.8458446860313416,0.4761902429969657
7,5,26,3.846144676208496,0.45305474171020393
7,5,27,3.841410756111145,0.48416760643651396
7,5,28,3.8511353135108948,0.47164259643251233
7,5,29,3.8494486808776855,0.4518215211492522
7,5,30,3.8470667600631714,0.47638449319121584
