phase,fold,epoch,loss,accuracy
8,5,1,3.9543901681900024,0.3430530107124698
8,5,2,3.9374391436576843,0.36251134226673387
8,5,3,3.9439050555229187,0.359567958569193
8,5,4,3.911256492137909,0.4052983086518982
8,5,5,3.9654524326324463,0.35175627200309867
8,5,6,3.918718099594116,0.4142268414568735
8,5,7,3.9589486718177795,0.3444927849594773
8,5,8,3.96703439950943,0.3628845205232382
8,5,9,3.9627378582954407,0.3475169300206576
8,5,10,3.978570282459259,0.3599222473018905
8,5,11,3.9440993070602417,0.3975904776453402
8,5,12,3.9464858770370483,0.36022131756213593
8,5,13,3.9588537216186523,0.3290956311631466
8,5,14,3.9373227953910828,0.3231892856442932
8,5,15,3.920528531074524,0.3662907694836873
8,5,16,3.959383249282837,0.3658956081614381
8,5,17,3.9802858233451843,0.340357789231818
8,5,18,4.0084704756736755,0.30938490532963064
8,5,19,3.9907196760177612,0.3356343891300499
8,5,20,4.011758506298065,0.33925865672147304
