phase,fold,epoch,loss,accuracy
10,5,1,3.985964775085449,0.41657305745420053
10,5,2,3.972852349281311,0.43373528209433393
10,5,3,3.9876654148101807,0.43454347665757054
10,5,4,4.019200444221497,0.3930482956198681
10,5,5,4.0233986377716064,0.35720356101327283
10,5,6,4.033985137939453,0.3863904745323019
10,5,7,4.071771144866943,0.3401944213759994
10,5,8,4.005994081497192,0.3710671944189512
10,5,9,4.019920349121094,0.38256116388765415
10,5,10,4.033844828605652,0.36543534765011276
10,5,11,4.0664567947387695,0.38893169934011473
10,5,12,4.009939789772034,0.40109355048162787
10,5,13,4.035199165344238,0.3768338484781438
10,5,14,4.010630249977112,0.4343963894948957
10,5,15,4.053626656532288,0.3688959941229977
10,5,16,4.019179105758667,0.3839225493548431
10,5,17,4.063937306404114,0.40388230666556757
10,5,18,4.023635983467102,0.3418643886271205
10,5,19,4.056034684181213,0.3773576612387073
10,5,20,4.030313730239868,0.4386256177704708
