phase,fold,epoch,loss,accuracy
4,5,1,2.7808943589528403,0.9191473559120618
4,5,2,2.8027056058247886,0.9529857397504456
4,5,3,2.7880493799845376,0.9325894693541752
4,5,4,2.783602476119995,0.9491978609625669
4,5,5,2.7896791299184165,0.9340463458110516
4,5,6,2.7888965606689453,0.8941703127532005
4,5,7,2.781102101008097,0.9093218279047157
4,5,8,2.7822723388671875,0.9188948306595365
4,5,9,2.7834306557973227,0.9037433155080214
4,5,10,2.7706693013509116,0.9430789798436856
4,5,11,2.7744009494781494,0.9226827094474153
4,5,12,2.77870241800944,0.8979581915410791
4,5,13,2.776247421900431,0.9131097066925945
4,5,14,2.7761808236440024,0.8960642521471399
4,5,15,2.7778777281443277,0.8960642521471399
4,5,16,2.784114360809326,0.8904857397504456
4,5,17,2.7761181195576987,0.8960642521471399
4,5,18,2.777585824330648,0.8999554367201426
4,5,19,2.7752300103505454,0.8848039215686274
4,5,20,2.7833453019460044,0.8802043544690602
