phase,fold,epoch,loss,accuracy
3,5,1,2.6984022855758667,0.7336321415083025
3,5,2,2.723223090171814,0.6748282450754807
3,5,3,2.6912366151809692,0.6987329884720419
3,5,4,2.671013116836548,0.7171746618902745
3,5,5,2.679200291633606,0.703016964066942
3,5,6,2.675171375274658,0.7506893134876329
3,5,7,2.666957378387451,0.7532225151623647
3,5,8,2.6835488080978394,0.711208545889218
3,5,9,2.6789162158966064,0.7276155830016954
3,5,10,2.7077330350875854,0.7098453880386654
3,5,11,2.6822673082351685,0.7018755428069892
3,5,12,2.700782537460327,0.7154504281899239
3,5,13,2.715507984161377,0.6882516714697166
3,5,14,2.7204545736312866,0.6981743737121888
3,5,15,2.6975992918014526,0.6251593010164439
3,5,16,2.6810022592544556,0.6594542525634962
3,5,17,2.7101892232894897,0.7256001381291076
3,5,18,2.6740386486053467,0.7127699268150397
3,5,19,2.716432809829712,0.6249279590624128
3,5,20,2.6913360357284546,0.7340619688925748
