phase,fold,epoch,loss,accuracy
6,5,1,3.397300601005554,0.7087665647298674
6,5,2,3.3991788625717163,0.7155537632601854
6,5,3,3.3648202419281006,0.771126537910132
6,5,4,3.391074776649475,0.7312546378456567
6,5,5,3.3784366846084595,0.7313305915167759
6,5,6,3.405957818031311,0.7302902200635606
6,5,7,3.3790847063064575,0.7298016565761617
6,5,8,3.391209363937378,0.7157030952497764
6,5,9,3.404706120491028,0.6774848824498042
6,5,10,3.395642876625061,0.7490607252075143
6,5,11,3.3764538764953613,0.7642244860134767
6,5,12,3.4140236377716064,0.6984000708771351
6,5,13,3.4227135181427,0.6985023270534674
6,5,14,3.4082201719284058,0.7828804987061868
6,5,15,3.398251533508301,0.7520317348298998
6,5,16,3.4226101636886597,0.7393497130680077
6,5,17,3.442781925201416,0.7481396534148828
6,5,18,3.43074631690979,0.6561635719289025
6,5,19,3.4071314334869385,0.6964245489474846
6,5,20,3.446255087852478,0.6471940411299061
6,5,21,3.4054871797561646,0.7024074758964127
6,5,22,3.399865508079529,0.7228378145809339
6,5,23,3.4145667552948,0.7508110136550503
6,5,24,3.4118947982788086,0.7041734124842597
6,5,25,3.4139435291290283,0.6885947595607607
6,5,26,3.436610698699951,0.6595382730838748
6,5,27,3.4337671995162964,0.6989349200898042
6,5,28,3.4619938135147095,0.6662358748165548
6,5,29,3.4226425886154175,0.690135258996565
6,5,30,3.420350193977356,0.654372360565021
